Cilizska Radvan;986;184;18.66;184;182;987;168;17.2;168;166;Dunajska Streda;Trnavsky kraj
Dobrohost;433;216;49.88;216;215;441;204;46.25;204;202;Dunajska Streda;Trnavsky kraj
Dolny Bar;597;198;33.16;197;196;598;163;27.25;163;162;Dunajska Streda;Trnavsky kraj
Dolny Stal;1624;409;25.18;409;406;1632;352;21.56;352;343;Dunajska Streda;Trnavsky kraj
Dunajska Streda;19293;6041;31.31;6034;5991;19279;5827;30.22;5825;5762;Dunajska Streda;Trnavsky kraj
Dunajsky Klatov;578;149;25.77;149;148;574;136;23.69;136;136;Dunajska Streda;Trnavsky kraj
Gabcikovo;4332;1204;27.79;1204;1194;4428;1113;25.13;1113;1075;Dunajska Streda;Trnavsky kraj
Holice;1770;602;34.01;602;598;1742;494;28.35;490;487;Dunajska Streda;Trnavsky kraj
Horna Poton;1731;601;34.71;601;601;1738;529;30.43;528;523;Dunajska Streda;Trnavsky kraj
Horne Myto;782;159;20.33;159;157;780;148;18.97;148;143;Dunajska Streda;Trnavsky kraj
Horny Bar;1053;438;41.59;438;437;1059;393;37.11;393;388;Dunajska Streda;Trnavsky kraj
Hubice;526;273;51.9;273;271;516;251;48.64;251;249;Dunajska Streda;Trnavsky kraj
Hviezdoslavov;1379;886;64.24;886;883;1513;830;54.85;830;821;Dunajska Streda;Trnavsky kraj
Jahodna;1398;339;24.24;339;336;1411;344;24.37;344;344;Dunajska Streda;Trnavsky kraj
Janiky;755;414;54.83;414;411;770;358;46.49;358;356;Dunajska Streda;Trnavsky kraj
Jurova;397;140;35.26;140;140;398;107;26.88;107;105;Dunajska Streda;Trnavsky kraj
Klucovec;311;92;29.58;92;89;313;76;24.28;76;73;Dunajska Streda;Trnavsky kraj
Kostolne Kracany;1160;436;37.58;436;435;1164;325;27.92;325;323;Dunajska Streda;Trnavsky kraj
Kralovicove Kracany;899;293;32.59;293;291;898;229;25.5;229;229;Dunajska Streda;Trnavsky kraj
Kutniky;1155;448;38.78;448;445;1152;386;33.5;386;384;Dunajska Streda;Trnavsky kraj
Kvetoslavov;1262;799;63.31;799;795;1274;696;54.63;696;691;Dunajska Streda;Trnavsky kraj
Kyselica;160;72;45;72;72;169;80;47.33;80;78;Dunajska Streda;Trnavsky kraj
Lehnice;2315;888;38.35;886;876;2330;748;32.1;747;739;Dunajska Streda;Trnavsky kraj
Luc na Ostrove;614;217;35.34;217;217;619;195;31.5;195;191;Dunajska Streda;Trnavsky kraj
Macov;325;195;60;195;193;334;171;51.19;171;167;Dunajska Streda;Trnavsky kraj
Mad;466;178;38.19;178;175;467;128;27.4;128;126;Dunajska Streda;Trnavsky kraj
Male Dvorniky;941;386;41.02;386;385;942;337;35.77;337;337;Dunajska Streda;Trnavsky kraj
Medvedov;483;129;26.7;129;129;490;120;24.48;120;120;Dunajska Streda;Trnavsky kraj
Mierovo;361;202;55.95;202;202;359;173;48.18;173;171;Dunajska Streda;Trnavsky kraj
Michal na Ostrove;820;316;38.53;316;311;822;281;34.18;281;276;Dunajska Streda;Trnavsky kraj
Narad;540;193;35.74;193;186;548;198;36.13;198;193;Dunajska Streda;Trnavsky kraj
Novy Zivot;1836;674;36.71;674;664;1842;665;36.1;665;662;Dunajska Streda;Trnavsky kraj
Ohrady;1120;299;26.69;299;298;1114;255;22.89;255;252;Dunajska Streda;Trnavsky kraj
Okoc;3100;605;19.51;605;575;3158;487;15.42;487;470;Dunajska Streda;Trnavsky kraj
Oldza;403;210;52.1;210;209;403;191;47.39;191;188;Dunajska Streda;Trnavsky kraj
Orechova Poton;1463;456;31.16;456;453;1436;420;29.24;420;416;Dunajska Streda;Trnavsky kraj
Padan;740;186;25.13;186;186;740;162;21.89;162;162;Dunajska Streda;Trnavsky kraj
Patas;658;102;15.5;102;102;654;76;11.62;76;76;Dunajska Streda;Trnavsky kraj
Potonske Luky;229;87;37.99;87;86;231;75;32.46;75;74;Dunajska Streda;Trnavsky kraj
Povoda;803;272;33.87;272;269;804;261;32.46;261;260;Dunajska Streda;Trnavsky kraj
Rohovce;922;400;43.38;399;394;918;329;35.83;329;323;Dunajska Streda;Trnavsky kraj
Sap;441;121;27.43;121;119;441;112;25.39;112;109;Dunajska Streda;Trnavsky kraj
Samorin;10981;5058;46.06;5058;5027;10873;4526;41.62;4524;4463;Dunajska Streda;Trnavsky kraj
Stvrtok na Ostrove;1437;631;43.91;631;626;1439;538;37.38;538;529;Dunajska Streda;Trnavsky kraj
Topolniky;2578;721;27.96;721;713;2576;569;22.8;569;566;Dunajska Streda;Trnavsky kraj
Trhova Hradska;1860;505;27.15;505;501;1863;386;20.71;385;380;Dunajska Streda;Trnavsky kraj
Trnavka - Dunajska Streda;418;196;46.88;196;196;420;154;36.66;154;154;Dunajska Streda;Trnavsky kraj
Trstena na Ostrove;498;176;35.34;176;170;503;170;33.79;170;168;Dunajska Streda;Trnavsky kraj
Velka Paka;776;420;54.12;420;417;765;397;51.89;397;393;Dunajska Streda;Trnavsky kraj
Velke Blahovo;1241;326;26.26;326;323;1243;263;21.15;263;262;Dunajska Streda;Trnavsky kraj
Velke Dvorniky;1047;305;29.13;305;300;1048;266;25.38;266;264;Dunajska Streda;Trnavsky kraj
Velky Meder;7097;1570;22.12;1570;1561;7084;1426;20.12;1426;1409;Dunajska Streda;Trnavsky kraj
Vieska - Dunajska Streda;360;160;44.44;160;159;360;128;35.55;128;128;Dunajska Streda;Trnavsky kraj
Vojka nad Dunajom;410;212;51.7;212;210;442;231;52.26;231;229;Dunajska Streda;Trnavsky kraj
Vrakun;2255;715;31.7;714;705;2261;560;24.76;559;557;Dunajska Streda;Trnavsky kraj
Vydrany;1451;433;29.84;433;425;1460;369;25.27;369;356;Dunajska Streda;Trnavsky kraj
Zlate Klasy;2753;532;19.32;532;529;2739;531;19.38;531;526;Dunajska Streda;Trnavsky kraj
Abraham;905;527;58.23;527;527;911;476;52.25;476;463;Galanta;Trnavsky kraj
Cierna Voda;1147;564;49.17;564;555;1151;324;28.14;324;316;Galanta;Trnavsky kraj
Cierny Brod;1372;430;31.34;430;426;1372;374;27.25;374;369;Galanta;Trnavsky kraj
